16:54:49.550431 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3424916485:3424916526, ack 1515649543, win 229, options [nop,nop,TS val 676419 ecr 803126], length 41
16:55:31.830995 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5569:5605, ack 12002, win 358, options [nop,nop,TS val 686989 ecr 813620], length 36
16:55:31.832581 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12002:12038, ack 5605, win 270, options [nop,nop,TS val 813691 ecr 686989], length 36
16:55:32.027177 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5605:5641, ack 12038, win 358, options [nop,nop,TS val 687038 ecr 813691], length 36
16:55:32.035072 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12038:12074, ack 5641, win 270, options [nop,nop,TS val 813742 ecr 687038], length 36
16:55:32.035097 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12074:12126, ack 5641, win 270, options [nop,nop,TS val 813742 ecr 687038], length 52
16:55:33.111456 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5641:5677, ack 12126, win 358, options [nop,nop,TS val 687309 ecr 813742], length 36
16:55:33.113072 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12126:12162, ack 5677, win 270, options [nop,nop,TS val 814011 ecr 687309], length 36
16:55:33.326412 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5677:5713, ack 12162, win 358, options [nop,nop,TS val 687363 ecr 814011], length 36
16:55:33.334806 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12162:12206, ack 5713, win 270, options [nop,nop,TS val 814067 ecr 687363], length 44
16:55:34.296629 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5713:5749, ack 12206, win 358, options [nop,nop,TS val 687606 ecr 814067], length 36
16:55:34.298172 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12206:12242, ack 5749, win 270, options [nop,nop,TS val 814307 ecr 687606], length 36
16:55:34.314952 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12242:12286, ack 5749, win 270, options [nop,nop,TS val 814312 ecr 687606], length 44
16:55:34.315027 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12286:12394, ack 5749, win 270, options [nop,nop,TS val 814312 ecr 687606], length 108
16:55:34.315061 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12394:12430, ack 5749, win 270, options [nop,nop,TS val 814312 ecr 687606], length 36
16:55:34.315090 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12430:12506, ack 5749, win 270, options [nop,nop,TS val 814312 ecr 687606], length 76
16:55:34.315829 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12506:12542, ack 5749, win 270, options [nop,nop,TS val 814312 ecr 687606], length 36
16:55:34.317110 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12542:12618, ack 5749, win 270, options [nop,nop,TS val 814312 ecr 687611], length 76
16:55:36.501884 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5749:5793, ack 12618, win 358, options [nop,nop,TS val 688157 ecr 814312], length 44
16:55:36.503771 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12618:12686, ack 5793, win 270, options [nop,nop,TS val 814859 ecr 688157], length 68
16:55:38.480203 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5793:5829, ack 12686, win 358, options [nop,nop,TS val 688652 ecr 814859], length 36
16:55:38.481617 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12686:12722, ack 5829, win 270, options [nop,nop,TS val 815353 ecr 688652], length 36
16:55:38.696559 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5829:5865, ack 12722, win 358, options [nop,nop,TS val 688706 ecr 815353], length 36
16:55:38.698231 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12722:12758, ack 5865, win 270, options [nop,nop,TS val 815407 ecr 688706], length 36
16:55:38.864742 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5865:5901, ack 12758, win 358, options [nop,nop,TS val 688748 ecr 815407], length 36
16:55:38.867198 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12758:12794, ack 5901, win 270, options [nop,nop,TS val 815449 ecr 688748], length 36
16:55:39.056451 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5901:5937, ack 12794, win 358, options [nop,nop,TS val 688796 ecr 815449], length 36
16:55:39.057899 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12794:12830, ack 5937, win 270, options [nop,nop,TS val 815497 ecr 688796], length 36
16:55:39.263190 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5937:5973, ack 12830, win 358, options [nop,nop,TS val 688847 ecr 815497], length 36
16:55:39.264649 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12830:12866, ack 5973, win 270, options [nop,nop,TS val 815549 ecr 688847], length 36
16:55:39.359186 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 5973:6009, ack 12866, win 358, options [nop,nop,TS val 688871 ecr 815549], length 36
16:55:39.360757 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12866:12902, ack 6009, win 270, options [nop,nop,TS val 815573 ecr 688871], length 36
16:55:39.426663 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6009:6045, ack 12902, win 358, options [nop,nop,TS val 688888 ecr 815573], length 36
16:55:39.428057 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12902:12938, ack 6045, win 270, options [nop,nop,TS val 815589 ecr 688888], length 36
16:55:39.563287 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6045:6081, ack 12938, win 358, options [nop,nop,TS val 688922 ecr 815589], length 36
16:55:39.568908 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12938:12974, ack 6081, win 270, options [nop,nop,TS val 815625 ecr 688922], length 36
16:55:39.613188 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 12974:13050, ack 6081, win 270, options [nop,nop,TS val 815636 ecr 688924], length 76
16:55:40.410018 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6081:6117, ack 13050, win 358, options [nop,nop,TS val 689134 ecr 815636], length 36
16:55:40.412530 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13050:13086, ack 6117, win 270, options [nop,nop,TS val 815835 ecr 689134], length 36
16:55:40.466872 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6117:6153, ack 13086, win 358, options [nop,nop,TS val 689148 ecr 815835], length 36
16:55:40.468354 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13086:13122, ack 6153, win 270, options [nop,nop,TS val 815849 ecr 689148], length 36
16:55:40.619995 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6153:6189, ack 13122, win 358, options [nop,nop,TS val 689187 ecr 815849], length 36
16:55:40.621603 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13122:13158, ack 6189, win 270, options [nop,nop,TS val 815888 ecr 689187], length 36
16:55:40.626448 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13158:13282, ack 6189, win 270, options [nop,nop,TS val 815889 ecr 689187], length 124
16:55:40.626524 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13282:13318, ack 6189, win 270, options [nop,nop,TS val 815889 ecr 689187], length 36
16:55:40.626557 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13318:13418, ack 6189, win 270, options [nop,nop,TS val 815889 ecr 689187], length 100
16:55:40.626584 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13418:13454, ack 6189, win 270, options [nop,nop,TS val 815889 ecr 689187], length 36
16:55:40.628318 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13454:13530, ack 6189, win 270, options [nop,nop,TS val 815889 ecr 689188], length 76
16:55:42.468282 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6189:6225, ack 13530, win 358, options [nop,nop,TS val 689649 ecr 815889], length 36
16:55:42.470080 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13530:13566, ack 6225, win 270, options [nop,nop,TS val 816349 ecr 689649], length 36
16:55:42.515667 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6225:6261, ack 13566, win 358, options [nop,nop,TS val 689661 ecr 816349], length 36
16:55:42.518291 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13566:13602, ack 6261, win 270, options [nop,nop,TS val 816361 ecr 689661], length 36
16:55:42.675077 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6261:6297, ack 13602, win 358, options [nop,nop,TS val 689700 ecr 816361], length 36
16:55:42.676831 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13602:13638, ack 6297, win 270, options [nop,nop,TS val 816401 ecr 689700], length 36
16:55:42.772641 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6297:6333, ack 13638, win 358, options [nop,nop,TS val 689725 ecr 816401], length 36
16:55:42.774243 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13638:13674, ack 6333, win 270, options [nop,nop,TS val 816425 ecr 689725], length 36
16:55:42.954880 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6333:6369, ack 13674, win 358, options [nop,nop,TS val 689770 ecr 816425], length 36
16:55:42.956441 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13674:13710, ack 6369, win 270, options [nop,nop,TS val 816471 ecr 689770], length 36
16:55:43.120174 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6369:6405, ack 13710, win 358, options [nop,nop,TS val 689812 ecr 816471], length 36
16:55:43.122643 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13710:13746, ack 6405, win 270, options [nop,nop,TS val 816513 ecr 689812], length 36
16:55:43.353474 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6405:6441, ack 13746, win 358, options [nop,nop,TS val 689870 ecr 816513], length 36
16:55:43.355321 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13746:13782, ack 6441, win 270, options [nop,nop,TS val 816571 ecr 689870], length 36
16:55:43.633489 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6441:6477, ack 13782, win 358, options [nop,nop,TS val 689940 ecr 816571], length 36
16:55:43.635211 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13782:13818, ack 6477, win 270, options [nop,nop,TS val 816641 ecr 689940], length 36
16:55:43.741463 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6477:6513, ack 13818, win 358, options [nop,nop,TS val 689967 ecr 816641], length 36
16:55:43.743523 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13818:13854, ack 6513, win 270, options [nop,nop,TS val 816668 ecr 689967], length 36
16:55:43.870215 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6513:6549, ack 13854, win 358, options [nop,nop,TS val 689999 ecr 816668], length 36
16:55:43.872155 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13854:13890, ack 6549, win 270, options [nop,nop,TS val 816700 ecr 689999], length 36
16:55:44.013168 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6549:6585, ack 13890, win 358, options [nop,nop,TS val 690035 ecr 816700], length 36
16:55:44.019013 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13890:13926, ack 6585, win 270, options [nop,nop,TS val 816737 ecr 690035], length 36
16:55:44.021579 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 13926:14002, ack 6585, win 270, options [nop,nop,TS val 816737 ecr 690036], length 76
16:55:44.570099 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6585:6621, ack 14002, win 358, options [nop,nop,TS val 690174 ecr 816737], length 36
16:55:44.572061 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14002:14038, ack 6621, win 270, options [nop,nop,TS val 816875 ecr 690174], length 36
16:55:44.645388 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6621:6657, ack 14038, win 358, options [nop,nop,TS val 690193 ecr 816875], length 36
16:55:44.647064 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14038:14074, ack 6657, win 270, options [nop,nop,TS val 816893 ecr 690193], length 36
16:55:44.741581 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6657:6693, ack 14074, win 358, options [nop,nop,TS val 690217 ecr 816893], length 36
16:55:44.743248 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14074:14110, ack 6693, win 270, options [nop,nop,TS val 816917 ecr 690217], length 36
16:55:44.748511 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14110:14234, ack 6693, win 270, options [nop,nop,TS val 816919 ecr 690217], length 124
16:55:44.748591 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14234:14270, ack 6693, win 270, options [nop,nop,TS val 816919 ecr 690217], length 36
16:55:44.748628 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14270:14346, ack 6693, win 270, options [nop,nop,TS val 816919 ecr 690217], length 76
16:55:44.748655 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14346:14382, ack 6693, win 270, options [nop,nop,TS val 816919 ecr 690217], length 36
16:55:44.750749 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14382:14458, ack 6693, win 270, options [nop,nop,TS val 816919 ecr 690219], length 76
16:55:45.130520 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6693:6729, ack 14458, win 358, options [nop,nop,TS val 690314 ecr 816919], length 36
16:55:45.132185 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14458:14494, ack 6729, win 270, options [nop,nop,TS val 817015 ecr 690314], length 36
16:55:45.141780 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6729:6765, ack 14494, win 358, options [nop,nop,TS val 690317 ecr 817015], length 36
16:55:45.143600 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14494:14530, ack 6765, win 270, options [nop,nop,TS val 817017 ecr 690317], length 36
16:55:45.264985 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6765:6801, ack 14530, win 358, options [nop,nop,TS val 690348 ecr 817017], length 36
16:55:45.266766 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14530:14566, ack 6801, win 270, options [nop,nop,TS val 817048 ecr 690348], length 36
16:55:45.826563 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6801:6837, ack 14566, win 358, options [nop,nop,TS val 690488 ecr 817048], length 36
16:55:45.828042 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14566:14602, ack 6837, win 270, options [nop,nop,TS val 817189 ecr 690488], length 36
16:55:45.982385 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6837:6873, ack 14602, win 358, options [nop,nop,TS val 690527 ecr 817189], length 36
16:55:45.984029 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14602:14638, ack 6873, win 270, options [nop,nop,TS val 817228 ecr 690527], length 36
16:55:45.994684 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14638:14698, ack 6873, win 270, options [nop,nop,TS val 817229 ecr 690528], length 60
16:55:48.062920 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6873:6909, ack 14698, win 358, options [nop,nop,TS val 691047 ecr 817229], length 36
16:55:48.063771 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14698:14734, ack 6909, win 270, options [nop,nop,TS val 817747 ecr 691047], length 36
16:55:48.237612 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6909:6945, ack 14734, win 358, options [nop,nop,TS val 691091 ecr 817747], length 36
16:55:48.238676 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14734:14770, ack 6945, win 270, options [nop,nop,TS val 817791 ecr 691091], length 36
16:55:48.335554 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6945:6981, ack 14770, win 358, options [nop,nop,TS val 691115 ecr 817791], length 36
16:55:48.337431 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14770:14806, ack 6981, win 270, options [nop,nop,TS val 817816 ecr 691115], length 36
16:55:48.407607 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 6981:7017, ack 14806, win 358, options [nop,nop,TS val 691133 ecr 817816], length 36
16:55:48.409433 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14806:14842, ack 7017, win 270, options [nop,nop,TS val 817834 ecr 691133], length 36
16:55:48.972244 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7017:7053, ack 14842, win 358, options [nop,nop,TS val 691275 ecr 817834], length 36
16:55:48.973987 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14842:14878, ack 7053, win 270, options [nop,nop,TS val 817975 ecr 691275], length 36
16:55:49.047171 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7053:7089, ack 14878, win 358, options [nop,nop,TS val 691293 ecr 817975], length 36
16:55:49.048615 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14878:14914, ack 7089, win 270, options [nop,nop,TS val 817993 ecr 691293], length 36
16:55:49.330056 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7089:7125, ack 14914, win 358, options [nop,nop,TS val 691364 ecr 817993], length 36
16:55:49.331877 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14914:14950, ack 7125, win 270, options [nop,nop,TS val 818064 ecr 691364], length 36
16:55:49.348221 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7125:7161, ack 14950, win 358, options [nop,nop,TS val 691369 ecr 818064], length 36
16:55:49.350072 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14950:14986, ack 7161, win 270, options [nop,nop,TS val 818069 ecr 691369], length 36
16:55:49.524627 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7161:7197, ack 14986, win 358, options [nop,nop,TS val 691413 ecr 818069], length 36
16:55:49.526448 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 14986:15022, ack 7197, win 270, options [nop,nop,TS val 818113 ecr 691413], length 36
16:55:50.653180 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7197:7233, ack 15022, win 358, options [nop,nop,TS val 691695 ecr 818113], length 36
16:55:50.654885 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 15022:15066, ack 7233, win 270, options [nop,nop,TS val 818395 ecr 691695], length 44
16:55:50.798704 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7233:7269, ack 15066, win 358, options [nop,nop,TS val 691731 ecr 818395], length 36
16:55:50.799692 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 15066:15110, ack 7269, win 270, options [nop,nop,TS val 818431 ecr 691731], length 44
16:55:50.936950 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7269:7305, ack 15110, win 358, options [nop,nop,TS val 691766 ecr 818431], length 36
16:55:50.938398 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 15110:15154, ack 7305, win 270, options [nop,nop,TS val 818465 ecr 691766], length 44
16:55:51.637384 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7305:7341, ack 15154, win 358, options [nop,nop,TS val 691941 ecr 818465], length 36
16:55:51.639123 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 15154:15190, ack 7341, win 270, options [nop,nop,TS val 818641 ecr 691941], length 36
16:55:51.839352 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7341:7377, ack 15190, win 358, options [nop,nop,TS val 691991 ecr 818641], length 36
16:55:51.840732 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 15190:15226, ack 7377, win 270, options [nop,nop,TS val 818691 ecr 691991], length 36
16:55:51.978244 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 7377:7413, ack 15226, win 358, options [nop,nop,TS val 692026 ecr 818691], length 36
